Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,lat,long,coast,elev,pop
0.013,0.83,0.009,0.015,0.044,0.068,0.019,0.002,-5.664864,145.501591,0.321724565,177,4
0.013,0.239,0.006,0.003,0.025,0.705,0.006,0.003,-5.664864,145.501591,0.321724565,177,4
0.019,0.111,0.064,0.005,0.023,0.765,0.009,0.002,-5.664864,145.501591,0.321724565,177,4
0.039,0.372,0.055,0.009,0.107,0.396,0.019,0.003,-5.7968,145.623,0.345764693,240,20
0.165,0.194,0.559,0.021,0.022,0.029,0.007,0.003,-5.7968,145.623,0.345764693,240,20
0.026,0.017,0.006,0.002,0.899,0.037,0.009,0.003,-5.6903,145.4801,0.354198687,150,4
0.03,0.083,0.013,0.132,0.598,0.116,0.017,0.01,-5.6903,145.4801,0.354198687,150,4
0.338,0.068,0.205,0.002,0.024,0.317,0.01,0.037,-5.6903,145.4801,0.354198687,150,4
0.075,0.552,0.013,0.007,0.311,0.034,0.005,0.004,-5.6903,145.4801,0.354198687,150,4
0.021,0.42,0.195,0.005,0.039,0.269,0.038,0.013,-5.6903,145.4801,0.354198687,150,4
0.014,0.304,0.22,0.007,0.08,0.34,0.026,0.009,-5.6903,145.4801,0.354198687,150,4
0.006,0.012,0.012,0.016,0.031,0.911,0.007,0.006,-5.6903,145.4801,0.354198687,150,4
0.006,0.009,0.008,0.01,0.01,0.946,0.006,0.004,-5.6903,145.4801,0.354198687,150,4
0.007,0.015,0.005,0.015,0.008,0.94,0.006,0.003,-5.6903,145.4801,0.354198687,150,4
0.041,0.518,0.007,0.002,0.129,0.261,0.037,0.004,-5.6903,145.4801,0.354198687,150,4
0.099,0.225,0.022,0.014,0.41,0.1,0.114,0.017,-5.6508,145.493,0.320717997,234,4
0.059,0.27,0.055,0.005,0.015,0.571,0.022,0.003,-5.6508,145.493,0.320717997,234,4
0.061,0.312,0.215,0.003,0.257,0.095,0.051,0.007,-5.6508,145.493,0.320717997,234,4
0.068,0.064,0.008,0.004,0.065,0.604,0.175,0.013,-5.6508,145.493,0.320717997,234,4
0.02,0.017,0.004,0.002,0.024,0.923,0.005,0.006,-5.6508,145.493,0.320717997,234,4
0.014,0.015,0.004,0.002,0.026,0.928,0.005,0.006,-5.6508,145.493,0.320717997,234,4
0.022,0.02,0.04,0.004,0.887,0.019,0.005,0.003,-4.2915,144.3712,0.314333806,15,2
0.531,0.267,0.012,0.005,0.124,0.05,0.008,0.003,-4.2915,144.3712,0.314333806,15,2
0.648,0.129,0.028,0.003,0.058,0.029,0.103,0.002,-3.52527,142.06547,0.440628499,381,8
0.01,0.635,0.007,0.004,0.182,0.146,0.013,0.003,-3.52527,142.06547,0.440628499,381,8
0.057,0.095,0.013,0.012,0.673,0.059,0.088,0.003,-3.52527,142.06547,0.440628499,381,8
0.01,0.303,0.008,0.06,0.243,0.333,0.007,0.036,-3.52527,142.06547,0.440628499,381,8
0.051,0.026,0.004,0.004,0.595,0.307,0.008,0.005,-3.52527,142.06547,0.440628499,381,8
0.015,0.105,0.049,0.02,0.746,0.047,0.01,0.008,-3.52527,142.06547,0.440628499,381,8
0.149,0.369,0.015,0.016,0.04,0.399,0.009,0.003,-3.52527,142.06547,0.440628499,381,8
0.058,0.216,0.026,0.008,0.2,0.472,0.017,0.003,-3.52527,142.06547,0.440628499,381,8
0.01,0.28,0.045,0.003,0.04,0.604,0.009,0.01,-3.52527,142.06547,0.440628499,381,8
0.013,0.545,0.01,0.004,0.057,0.362,0.005,0.005,-3.52527,142.06547,0.440628499,381,8
0.133,0.276,0.027,0.013,0.178,0.201,0.165,0.008,-3.52527,142.06547,0.440628499,381,8
0.123,0.229,0.014,0.002,0.224,0.23,0.172,0.005,-3.65809,143.49685,0.149547413,296,11
0.05,0.641,0.012,0.007,0.175,0.084,0.027,0.004,-3.2026,142.2037,0.094179371,86,8
0.021,0.069,0.036,0.004,0.312,0.276,0.276,0.006,-3.2026,142.2037,0.094179371,86,8
